target,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
Neu5Gc(a2-6)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Gc(a2-6)Gal(b1-4)GlcNAc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Addax_nasomaculatus,Addax,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/28881070/
Gal(?1-3)Gal(b1-4)GlcOP-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(?1-3)Gal6S(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(a1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(a1-4)Gal(b1-4)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GalNAc(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GalNAc(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GalNAc(b1-4)GlcNAc(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GalNAc(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GlcA(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(a1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GalNAc(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)GlcNAc(b1-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)GlcNAc(b1-6)[Gal(b1-4)]Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)GlcNAc(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)[GalNAc(b1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Gc(a2-6)Gal(b1-4)Glc-ol,Aepyceros_melampus,Aepyceros,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-2)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Gal(a1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12831764/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://royalsocietypublishing.org/doi/10.1098/rsos.150395
Neu5Ac(a2-6)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143417
Neu5Gc(a2-3)Gal(b1-4)Glc-ol,Ailuropoda_melanoleuca,Ailuropoda,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukarya,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0143417
Gal(b1-4)Glc-ol,Alcelaphus_buselaphus,Alcelaphus,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/27880889/
Gal(b1-4)Glc-ol,Alces_alces,Alces,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/22083874/
Fuc(a1-2)Gal(b1-4)Glc-ol,Alces_canadensis,Alces,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/14252166/
Gal(b1-4)Glc-ol,Alces_canadensis,Alces,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/14252166/
Fuc(a1-2)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-3)[Gal(b1-4)]Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Fuc(a1-3)[Gal(b1-4)]GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)GlcOP-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-?)GlcNAc(b1-3)[Gal(b1-?)GlcNAc6S(b1-6)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-?)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal3S(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal6S(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GalNAc(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Neu5Ac(a2-6)Gal(b1-4)GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,Allochrocebus_lhoesti,Allochrocebus,Cercopithecidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://www.biorxiv.org/content/10.1101/2023.01.16.524336v1
Gal(b1-4)Glc-ol,Alouatta_palliata,Alouatta,Atelidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/21127965/
Neu5Ac(a2-3)Gal(b1-4)Glc-ol,Alouatta_palliata,Alouatta,Atelidae,Primates,Mammalia,Chordata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/21127965/
